status,state,bill_number,description,sponsors,committee,session,latest_action,bill_id
BECAME LAW,Indiana,SB 143,Parental rights.,"Liz Brown (R),Scott Alexander (R),Brett Clark (R),+19 sponsors","JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: APRIL 22, 2025","APRIL 22, 2025",state-in-2025-sb143
PASSED,Montana,SB 437,Revise definition of sex in Montana law,Carl Glimm (R),"JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: APRIL 21, 2025","APRIL 21, 2025",state-mt-2025-sb437
PASSED,Tennessee,SB 468,"Safety - As introduced, enacts the ""Women's Safety and Protection Act."" - Amends TCA Title 4; Title 37; Title 41; Title 49 and Title 68.",Janice Bowling (R),"JUDICIARY, CALENDAR","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: APRIL 21, 2025","APRIL 21, 2025",state-tn-114-sb468
INTRODUCED,Illinois,SB 2079,EDUCATION-GENDER IN ATHLETICS,"Andrew Chesney (R),Neil Anderson (R)",ASSIGNMENTS,"104TH REGULAR SESSION
LATEST ACTION: APRIL 21, 2025","APRIL 21, 2025",state-il-104th-sb2079
PASSED UPPER,Texas,SB 406,Relating to the required inclusion of a person's sex on a birth certificate and prohibited change of sex on the birth certificate of certain persons.,"Mayes Middleton (R),Bob Hall (R),Flores,+1 sponsor","STATE AFFAIRS, PUBLIC HEALTH","89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 17, 2025","APRIL 17, 2025",state-tx-89r-sb406
PASSED UPPER,Tennessee,SB 676,"Health Care - As introduced, requires gender clinics accepting funds from this state to perform gender transition procedures to also perform detransition procedures; requires insurance entities providing coverage of gender transition procedures to also cover detransition procedures; requires certain gender clinics and insurance entities to report information regarding detransition procedures to the department of health. - Amends TCA Title 1; Title 4; Title 33; Title 56; Title 63; Title 68 and Title 71.",Brent Taylor (R),"COMMERCE AND LABOR, FINANCE, WAYS AND MEANS","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: APRIL 17, 2025","APRIL 17, 2025",state-tn-114-sb676
SIGNED BY GOVERNOR,Arkansas,HB 1615,TO AMEND THE LAW CONCERNING RELIGIOUS NONDISCRIMINATION.,"Robin Lundstrum (R),Gary Stubblefield (R),Howard Beaty (R),+10 sponsors","JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: APRIL 16, 2025","APRIL 16, 2025",state-ar-2025-hb1615
BECAME LAW,Indiana,HB 1041,Student eligibility in interscholastic sports.,"Michelle Davis (R),Stacey Donato (R),Chris Jeter (R),+5 sponsors","EDUCATION AND CAREER DEVELOPMENT, EDUCATION","2025 REGULAR SESSION
LATEST ACTION: APRIL 16, 2025","APRIL 16, 2025",state-in-2025-hb1041
INTRODUCED,Tennessee,HB 571,"Safety - As introduced, enacts the ""Women's Safety and Protection Act."" - Amends TCA Title 4; Title 37; Title 41; Title 49 and Title 68.",Gino Bulso (R),"CALENDAR & RULES, CIVIL JUSTICE SUBCOMMITTEE, JUDICIARY","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: APRIL 15, 2025","APRIL 15, 2025",state-tn-114-hb571
VETOED,Arizona,HB 2126,medical records; parental rights,"Julie Willoughby (R),Leo Biasiucci (R),Selina Bliss (R),+4 sponsors","RULES, RULES, HEALTH AND HUMAN SERVICES, HEALTH & HUMAN SERVICES","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: APRIL 15, 2025","APRIL 15, 2025",state-az-57th_1stregular-hb2126
VETOED,Arizona,HB 2062,sex-based terms; laws; rules; regulations,"Lisa Fink (R),Rachel Keshel (R),Khyl Powell (R),+1 sponsor","RULES, RULES, GOVERNMENT, GOVERNMENT","57TH LEGISLATURE - FIRST REGULAR SESSION
LATEST ACTION: APRIL 15, 2025","APRIL 15, 2025",state-az-57th_1stregular-hb2062
INTRODUCED,Colorado,SB 25-201,Require Age Checks for Online Sexual Materials,"Paul Lundeen (R),Lindsey Daugherty (D),Meghan Lukens (D),+2 sponsors","HEALTH & HUMAN SERVICES, SENATE COMMITTEE OF THE WHOLE","2025 REGULAR SESSION
LATEST ACTION: APRIL 14, 2025","APRIL 14, 2025",state-co-2025a-sb25201
SIGNED BY GOVERNOR,North Dakota,HB 1561,"AN ACT to create and enact a new section to chapter 51-07 of the North Dakota Century Code, relating to a commercial entity's liability for publishing or distributing sexual material harmful to a minor; to provide a penalty; and to provide for application.","Steve Swiontek (R),Michelle Axtman (R),Glenn Bosch (R),+8 sponsors","JUDICIARY, INDUSTRY AND BUSINESS","69TH LEGISLATIVE ASSEMBLY (2025-26)
LATEST ACTION: APRIL 14, 2025","APRIL 14, 2025",state-nd-69-hb1561
INTRODUCED,North Carolina,HB 1000,Detransitioners Bill of Rights.,"Johnson,Neal Jackson (R),Jennifer Balkcom (R),+3 sponsors","RULES, CALENDAR, AND OPERATIONS OF THE HOUSE","2025-2026 SESSION
LATEST ACTION: APRIL 14, 2025","APRIL 14, 2025",state-nc-2025-hb1000
INTRODUCED,Massachusetts,HD 4542,An Act relative to abusive practices to change sexual orientation and gender identity,"John Gaskey (R),Kari MacRae",RULES,"194TH LEGISLATURE (2025-2026)
LATEST ACTION: APRIL 14, 2025","APRIL 14, 2025",state-ma-194th-hd4542
INTRODUCED,Illinois,SB 1226,SCH CD-BIO SEX-RESTROOM ACCESS,"Andrew Chesney (R),Don DeWitte (R)",ASSIGNMENTS,"104TH REGULAR SESSION
LATEST ACTION: APRIL 14, 2025","APRIL 14, 2025",state-il-104th-sb1226
INTRODUCED,Alaska,HB 40,"An Act relating to school athletics, recreation, athletic teams, and sports.","Jamie Allard (R),Jubilee Underwood (R),Sarah Vance (R),+1 sponsor","EDUCATION, JUDICIARY","34TH LEGISLATURE (2025-2026)
LATEST ACTION: APRIL 11, 2025","APRIL 11, 2025",state-ak-34-hb40
SIGNED BY GOVERNOR,Arkansas,HB 1669,TO CREATE THE KEEP KIDS FIRST ACT; AND TO PROVIDE FOR PROTECTIONS FROM DISCRIMINATION FOR ADOPTION AND FOSTER CARE PROVIDERS ACTING IN ACCORDANCE WITH SINCERELY HELD RELIGIOUS BELIEFS.,"Mary Bentley (R),Alan Clark (R)","JUDICIARY, AGING, CHILDREN AND YOUTH, & LEGISLATIVE AFFAIRS","2025 REGULAR SESSION
LATEST ACTION: APRIL 10, 2025","APRIL 10, 2025",state-ar-2025-hb1669
SIGNED BY GOVERNOR,Mississippi,HB 599,Internet; create civil liability for distribution of child pornography and obscene matter by commercial entities.,Price Wallace (R),"JUDICIARY, DIVISION A, JUDICIARY A","2025 REGULAR SESSION
LATEST ACTION: APRIL 10, 2025","APRIL 10, 2025",state-ms-2025-hb599
PASSED,Kansas,HB 2382,"Senate Substitute for HB 2382 by Committee on Education - Requiring school districts to include a fetal development presentation as part of the curriculum for any course that addresses human growth, human development or human sexuality and authorizing the state board of education to establish the rate of compensation for members of the board.",,"EDUCATION, APPROPRIATIONS, K-12 EDUCATION BUDGET","2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 10, 2025","APRIL 10, 2025",state-ks-2025_2026-hb2382
PASSED,Kansas,HB 2311,"Prohibiting the secretary from adopting and enforcing policies for placement, custody and appointment of a custodian that may conflict with sincerely held religious or moral beliefs regarding sexual orientation or gender identity and creating a right of action for violations.",,"PUBLIC HEALTH AND WELFARE, CHILD WELFARE AND FOSTER CARE","2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 10, 2025","APRIL 10, 2025",state-ks-2025_2026-hb2311
INTRODUCED,Pennsylvania,SB 603,"An Act amending Title 18 (Crimes and Offenses) of the Pennsylvania Consolidated Statutes, in computer offenses, providing for Internet protections for minors.","Cris Dush (R),Judy Ward (R),Wayne Fontana (D),+1 sponsor",JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 9, 2025","APRIL 9, 2025",state-pa-2025_2026-sb603
PASSED UPPER,Texas,SB 371,Relating to parental approval for a student's participation in human sexuality instruction in public schools.,"Donna Campbell (R),Bryan Hughes (R),Paul Bettencourt (R),+7 sponsors","PUBLIC EDUCATION, EDUCATION K-16","89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 9, 2025","APRIL 9, 2025",state-tx-89r-sb371
INTRODUCED,Tennessee,HB 754,"Health Care - As introduced, requires gender clinics accepting funds from this state to perform gender transition procedures to also perform detransition procedures; requires insurance entities providing coverage of gender transition procedures to also cover detransition procedures; requires certain gender clinics and insurance entities to report information regarding detransition procedures to the department of health. - Amends TCA Title 1; Title 4; Title 33; Title 56; Title 63; Title 68 and Title 71.",Jeremy Faison (R),"FINANCE, WAYS AND MEANS, LOCAL GOVERNMENT, HEALTH, FINANCE, WAYS AND MEANS SUBCOMMITTEE, POPULATION HEALTH SUBCOMMITTEE","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: APRIL 9, 2025","APRIL 9, 2025",state-tn-114-hb754
INTRODUCED,South Carolina,H 3638,Parental rights,"Mark Smith (R),John McCravy (R),Bill Taylor (R),+23 sponsors","MEDICAL, MILITARY, PUBLIC AND MUNICIPAL AFFAIRS","2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 9, 2025","APRIL 9, 2025",state-sc-2025_2026-h3638
INTRODUCED,South Carolina,H 3011,Parental Rights in Education Act,"Tommy Pope (R),Josiah Magnuson (R),Fawn Pedalino (R),+19 sponsors",EDUCATION AND PUBLIC WORKS,"2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 9, 2025","APRIL 9, 2025",state-sc-2025_2026-h3011
INTRODUCED,Missouri,HB 1197,Establishes immunity from civil liability for certain actions taken by private schools related to access to restrooms or changing areas,Ben Baker (R),"CHILDREN AND FAMILIES, RULES - LEGISLATIVE","2025 REGULAR SESSION
LATEST ACTION: APRIL 8, 2025","APRIL 8, 2025",state-mo-2025-hb1197
INTRODUCED,Texas,SB 983,"Relating to local school health advisory councils and instruction regarding human sexuality, sexual orientation, and gender identity provided by public schools.","Bryan Hughes (R),Kevin Sparks (R)",EDUCATION K-16,"89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 8, 2025","APRIL 8, 2025",state-tx-89r-sb983
INTRODUCED,Texas,SB 87,Relating to parental approval for a student's participation in human sexuality instruction in public schools.,"Bob Hall (R),Kevin Sparks (R)",EDUCATION K-16,"89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 8, 2025","APRIL 8, 2025",state-tx-89r-sb87
INTRODUCED,Texas,SB 86,Relating to parental rights in public education and prohibiting instruction regarding sexual orientation or gender identity for public school students.,"Bob Hall (R),Kevin Sparks (R)",EDUCATION K-16,"89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 8, 2025","APRIL 8, 2025",state-tx-89r-sb86
INTRODUCED,Connecticut,HB 7014,AN ACT CONCERNING PUBLIC SCHOOL LIBRARIES.,,EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: APRIL 8, 2025","APRIL 8, 2025",state-ct-2025-hb7014
INTRODUCED,Texas,HB 5541,Relating to discrimination by a state agency against an applicant for or holder of an occupational license.,"Steve Toth (R),David Spiller (R),Greg Bonnen (R),+40 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 7, 2025","APRIL 7, 2025",state-tx-89r-hb5541
PASSED UPPER,Georgia,SB 39,Employees' Insurance and Benefits Plans; expenses for gender-affirming care under the state health benefit plan or with any state funds; prohibit coverage,"Blake Tillery (R),Carden Summers (R),Randy Robertson (R),+26 sponsors","INSURANCE AND LABOR, HEALTH","2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 4, 2025","APRIL 4, 2025",state-ga-2025_26-sb39
SIGNED BY GOVERNOR,Georgia,SB 36,"""Georgia Religious Freedom Restoration Act""; enact","Ed Setzler (R),Matt Brass (R),Jason Anavitarte (R),+30 sponsors","JUDICIARY, JUDICIARY","2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 4, 2025","APRIL 4, 2025",state-ga-2025_26-sb36
PASSED UPPER,Georgia,SB 30,Hospitals and Related Institutions; hormone therapies and puberty-blocking medications for certain purposes to minors; prohibit prescribing or administering,"Ben Watson (R),Steve Gooch (R),John Kennedy (R),+27 sponsors","HEALTH AND HUMAN SERVICES, PUBLIC AND COMMUNITY HEALTH","2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 4, 2025","APRIL 4, 2025",state-ga-2025_26-sb30
INTRODUCED,South Carolina,S 540,Definition of child abuse,"Richard Cash (R),Josh Kimbrell (R),Carlisle Kennedy (R),+17 sponsors",FAMILY AND VETERANS' SERVICES,"2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 3, 2025","APRIL 3, 2025",state-sc-2025_2026-s540
INTRODUCED,Texas,HB 4425,Relating to prohibiting public officers and employees from displaying preferred gender pronouns; authorizing a private civil right of action.,Briscoe Cain (R),STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 2, 2025","APRIL 2, 2025",state-tx-89r-hb4425
INTRODUCED,Tennessee,HB 1262,"Education - As introduced, makes various changes to the categories of individuals who are not required to use a preferred pronoun, and for whom a preferred pronoun can be disregarded, if the pronoun is inconsistent with the person's biological sex; makes various changes to the civil liability and adverse action protections as it relates to the use of, or the refusal to use, a pronoun or preferred pronoun. - Amends TCA Title 49.",Michele Reneau (R),"FINANCE, WAYS AND MEANS, CALENDAR & RULES, FINANCE, WAYS AND MEANS SUBCOMMITTEE, EDUCATION ADMINISTRATION SUBCOMMITTEE, EDUCATION","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: APRIL 2, 2025","APRIL 2, 2025",state-tn-114-hb1262
INTRODUCED,California,AB 89,Interscholastic sports: gender equity.,Kate Sanchez (R),EDUCATION,"2025-2026 REGULAR SESSION
LATEST ACTION: APRIL 2, 2025","APRIL 2, 2025",state-ca-20252026-ab89
INTRODUCED,Arkansas,HB 1668,"TO CREATE THE VULNERABLE YOUTH PROTECTION ACT; AND TO AUTHORIZE A CIVIL ACTION FOR SOCIAL TRANSITIONING AND CASTRATION, STERILIZATION, OR MUTILATION OF A MINOR.","Mary Bentley (R),Alan Clark (R)",JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: APRIL 1, 2025","APRIL 1, 2025",state-ar-2025-hb1668
INTRODUCED,Texas,HB 4381,Relating to parental rights and required notification in public education; authorizing an administrative penalty.,"Cole Hefner (R),Cook,Lacey Hull (R),+23 sponsors",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: APRIL 1, 2025","APRIL 1, 2025",state-tx-89r-hb4381
INTRODUCED,North Carolina,HB 595,Parental Rights for Curriculum and Books.,"John Torbett (R),Hugh Blackwell (R),Mike Clampitt (R),+6 sponsors","RULES, CALENDAR, AND OPERATIONS OF THE HOUSE","2025-2026 SESSION
LATEST ACTION: APRIL 1, 2025","APRIL 1, 2025",state-nc-2025-hb595
SIGNED BY GOVERNOR,Idaho,H 352,EDUCATION – Amends existing law to revise provisions regarding parental rights in education.,EDUCATION COMMITTEE,EDUCATION,"68TH LEGISLATURE, 1ST REGULAR SESSION (2025)
LATEST ACTION: APRIL 1, 2025","APRIL 1, 2025",state-id-2025-h352
SIGNED BY GOVERNOR,Arkansas,SB 223,TO CREATE THE RELIGIOUS RIGHTS AT PUBLIC SCHOOLS ACT OF 2025.,"Mark Johnson (R),Alyssa Brown (R)","EDUCATION, EDUCATION","2025 REGULAR SESSION
LATEST ACTION: MARCH 31, 2025","MARCH 31, 2025",state-ar-2025-sb223
PASSED UPPER,North Dakota,SB 2244,"A BILL for an Act to create and enact a new section to chapter 15.1-06 of the North Dakota Century Code, relating to parental involvement in a child's education; and to amend and reenact section 14-09-32.1 of the North Dakota Century Code, relating to a parent's interest in a child's upbringing.","Bob Paulson (R),Dori Hauck (R),Randy Lemm (R),+3 sponsors","EDUCATION, JUDICIARY","69TH LEGISLATIVE ASSEMBLY (2025-26)
LATEST ACTION: MARCH 31, 2025","MARCH 31, 2025",state-nd-69-sb2244
BECAME LAW,Montana,HB 300,Generally revise laws related to discrimination in education,Kerri Seekins-Crowe (R),"JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: MARCH 27, 2025","MARCH 27, 2025",state-mt-2025-hb300
INTRODUCED,Wisconsin,SB 157,Relating to: prohibiting gender transition medical intervention for individuals under 18 years of age.,"Cory Tomczyk (R),Chris Kapenga (R),Steve Nass (R),+2 sponsors","GOVERNMENT OPERATIONS, LABOR AND ECONOMIC DEVELOPMENT","2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 27, 2025","MARCH 27, 2025",state-wi-2025-sb157
INTRODUCED,Missouri,SB 764,"Establishes provisions relating to adult cabaret performances, including the offense of engaging in an adult cabaret performance",Joe Nicola (R),JUDICIARY AND CIVIL AND CRIMINAL JURISPRUDENCE,"2025 REGULAR SESSION
LATEST ACTION: MARCH 27, 2025","MARCH 27, 2025",state-mo-2025-sb764
BECAME LAW,Kentucky,HB 495,AN ACT relating to healthcare services and declaring an emergency.,,"RULES, COMMITTEE ON COMMITTEES, RULES, STATE GOVERNMENT, COMMITTEE ON COMMITTEES, OVERRIDDEN, HEALTH SERVICES","2025 REGULAR SESSION
LATEST ACTION: MARCH 27, 2025","MARCH 27, 2025",state-ky-2025rs-hb495
INTRODUCED,Texas,HB 4002,Relating to parental rights in public education and prohibiting instruction regarding sexual orientation or gender identity for public school students.,Brent Money (R),PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 27, 2025","MARCH 27, 2025",state-tx-89r-hb4002
INTRODUCED,New Hampshire,HB 620,relative to the exercise of the freedom of religion.,"Daniel Popovici-Muller (R),Ellen D Read,Bob Lynn (R),+3 sponsors",JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MARCH 27, 2025","MARCH 27, 2025",state-nh-2025-hb620
PASSED LOWER,North Dakota,HB 1430,"A BILL for an Act to create and enact a new section to chapter 43-41 of the North Dakota Century Code, relating to the regulation of social workers.","Lori VanWinkle (R),Karen Anderson (R),Macy Bolinske (R),+9 sponsors",HUMAN SERVICES,"69TH LEGISLATIVE ASSEMBLY (2025-26)
LATEST ACTION: MARCH 27, 2025","MARCH 27, 2025",state-nd-69-hb1430
INTRODUCED,Ohio,HB 196,"Regards candidate nomination protests, names on candidacy forms","Rodney Creech (R),Angie King (R)",GENERAL GOVERNMENT,"136TH LEGISLATURE (2025-2026)
LATEST ACTION: MARCH 26, 2025","MARCH 26, 2025",state-oh-136-hb196
INTRODUCED,Ohio,HB 190,Enact the Given Name Act,"Johnathan Newman (R),Josh Williams (R),Levi Dean (R),+3 sponsors",EDUCATION,"136TH LEGISLATURE (2025-2026)
LATEST ACTION: MARCH 26, 2025","MARCH 26, 2025",state-oh-136-hb190
INTRODUCED,Texas,HB 3817,Relating to creating the criminal offense of gender identity fraud.,"Tom Oliverson (R),Keresa Richardson (R),Janis Holt (R),+5 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 26, 2025","MARCH 26, 2025",state-tx-89r-hb3817
INTRODUCED,Tennessee,HB 470,"Professions and Occupations - As introduced, enacts the ""Tennessee Professionals' Freedom of Religion Act."" - Amends TCA Title 4.",Tim Rudd (R),"COMMERCE, BANKING & CONSUMER AFFAIRS SUBCOMMITTEE, BUSINESS & UTILITIES SUBCOMMITTEE","114TH REGULAR SESSION (2025-2026)
LATEST ACTION: MARCH 26, 2025","MARCH 26, 2025",state-tn-114-hb470
INTRODUCED,North Carolina,SB 516,Women's Safety and Protection Act.,"Vickie Sawyer (R),Brad Overcash (R),Lisa Barnes (R),+7 sponsors",RULES AND OPERATIONS OF THE SENATE,"2025-2026 SESSION
LATEST ACTION: MARCH 26, 2025","MARCH 26, 2025",state-nc-2025-sb516
SIGNED BY GOVERNOR,Iowa,SF 418,"A bill for an act relating to sex and gender, including those and related terms for purposes of statutory construction, indications of a person’s sex on certain vital records, gender identity under the Iowa civil rights Act, and school curricula related to gender theory. Effective date: 07/01/2025.",Jason Schultz (R),JUDICIARY,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 26, 2025","MARCH 26, 2025",state-ia-2025_2026-sf418
INTRODUCED,Missouri,SB 698,Requires school districts to establish a policy allowing students to be excused from class to receive religious or moral instruction off school property,Mike Moon (R),EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: MARCH 24, 2025","MARCH 24, 2025",state-mo-2025-sb698
INTRODUCED,Pennsylvania,HB 1033,An Act prohibiting gender transition procedures for minors and coverage for gender transition procedures for minors.,"Brad Roae (R),Joe Hamm (R),Stephanie Borowicz (R),+16 sponsors",HEALTH,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 24, 2025","MARCH 24, 2025",state-pa-2025_2026-hb1033
INTRODUCED,Texas,HB 3548,"Relating to local school health advisory councils and instruction regarding human sexuality, sexual orientation, and gender identity provided by public schools.","Caroline Harris Davila (R),Mitch Little (R),Richard Hayes (R),+6 sponsors",PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 24, 2025","MARCH 24, 2025",state-tx-89r-hb3548
INTRODUCED,Texas,HB 3478,Relating to the definitions of child abuse and neglect and the temporary emergency jurisdiction of a court in this state over a child at risk of receiving certain prohibited gender transitioning or gender reassignment procedures or treatments.,David Lowe (R),S/C ON FAMILY & FIDUCIARY RELATIONSHIPS BY SPEAKER,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 24, 2025","MARCH 24, 2025",state-tx-89r-hb3478
INTRODUCED,Minnesota,HF 2734,Court procedure clarified for a change of sex to vital records.,Peter Fischer (D),JUDICIARY FINANCE AND CIVIL LAW,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 24, 2025","MARCH 24, 2025",state-mn-2025_2026-hf2734
INTRODUCED,Texas,HB 3431,Relating to prohibitions on the provision to certain children of gender transitioning or reassignment procedures and treatments and gender-affirming therapy and counseling; creating criminal offenses.,Tony Tinderholt (R),PUBLIC HEALTH,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 21, 2025","MARCH 21, 2025",state-tx-89r-hb3431
INTRODUCED,Texas,HB 3411,Relating to prohibiting a public school teacher from supporting a student's gender transition.,Nate Schatzline (R),PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 21, 2025","MARCH 21, 2025",state-tx-89r-hb3411
INTRODUCED,Texas,HB 3399,"Relating to the provision of procedures and treatments for gender transitioning, gender reassignment, or gender dysphoria and the use of public money or public assistance to provide those procedures or treatments.","Brent Money (R),Andy Hopper (R),Janis Holt (R),+6 sponsors",PUBLIC HEALTH,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 21, 2025","MARCH 21, 2025",state-tx-89r-hb3399
PASSED UPPER,Kansas,SB 76,Requiring employees of school districts and postsecondary educational institutions to use the name and pronouns consistent with a student's biological sex and birth certificate and authorizing a cause of action for violations therefor.,,"EDUCATION, EDUCATION","2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 21, 2025","MARCH 21, 2025",state-ks-2025_2026-sb76
INTRODUCED,Iowa,HF 62,A bill for an act relating to obscene material available on devices and imposing civil liability on certain entities who publish or distribute obscene material on the internet.,John Wills (R),"JUDICIARY, JUDICIARY H.J. 01/15.","2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 21, 2025","MARCH 21, 2025",state-ia-2025_2026-hf62
INTRODUCED,West Virginia,SB 841,Prohibiting state entities from promoting or engaging in any activity related to sexual orientation or gender transitioning,"Mark Maynard (R),Mike Azinger (R),Vince Deeds (R),+13 sponsors",JUDICIARY,"2025 REGULAR SESSION
LATEST ACTION: MARCH 20, 2025","MARCH 20, 2025",state-wv-2025-sb841
INTRODUCED,Michigan,SB 191,Communications: internet; age verification to visit adult-only pornographic websites; require. Creates new act.,Thomas Albert (R),REGULATORY AFFAIRS,"2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 20, 2025","MARCH 20, 2025",state-mi-2025_2026-sb191
SIGNED BY GOVERNOR,Idaho,H 59,MEDICAL ETHICS DEFENSE ACT – Adds to existing law to establish the Medical Ethics Defense Act.,HEALTH AND WELFARE COMMITTEE,"HEALTH & WELFARE, JRA FOR ENGROSSING, 14TH ORDER FOR AMENDMENT","68TH LEGISLATURE, 1ST REGULAR SESSION (2025)
LATEST ACTION: MARCH 20, 2025","MARCH 20, 2025",state-id-2025-h59
INTRODUCED,Ohio,HB 172,Prohibit mental health service to minors without parental consent,"Johnathan Newman (R),Gary Click (R),Levi Dean (R),+13 sponsors",HEALTH,"136TH LEGISLATURE (2025-2026)
LATEST ACTION: MARCH 19, 2025","MARCH 19, 2025",state-oh-136-hb172
INTRODUCED,Ohio,HB 155,"Prohibit diversity, equity, and inclusion in public schools","Beth Lear (R),Josh Williams (R),Thomas Hall (R),+5 sponsors",EDUCATION,"136TH LEGISLATURE (2025-2026)
LATEST ACTION: MARCH 19, 2025","MARCH 19, 2025",state-oh-136-hb155
INTRODUCED,Texas,HB 2846,Relating to parental rights in public education and prohibiting instruction regarding sexual orientation or gender identity for public school students.,Matt Shaheen (R),PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 19, 2025","MARCH 19, 2025",state-tx-89r-hb2846
INTRODUCED,Texas,HB 2816,Relating to protection of the rights of conscience of persons from providing and health care facilities from offering certain health care services; providing a civil remedy; authorizing disciplinary action.,"Tom Oliverson (R),Cole Hefner (R),Candy Noble (R),+44 sponsors",PUBLIC HEALTH,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 19, 2025","MARCH 19, 2025",state-tx-89r-hb2816
INTRODUCED,Texas,HB 2784,Relating to health benefit plan coverage for conversion therapy.,Terry Meza (D),INSURANCE,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 19, 2025","MARCH 19, 2025",state-tx-89r-hb2784
BECAME LAW,Wyoming,HB 32,What is a Woman Act.,"Jayme Lien (R),Bill Allemand (R),Abby Angelos (R),+10 sponsors","LABOR, AGRICULTURE","2025 REGULAR SESSION
LATEST ACTION: MARCH 14, 2025","MARCH 14, 2025",state-wy-2025-hb32
INTRODUCED,Texas,HB 2258,Imposing private civil liability on anyone who causes or contributes to the social transitioning of a minor.,"Steve Toth (R),Tom Oliverson (R),Will Metcalf (R),+28 sponsors",STATE AFFAIRS,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 14, 2025","MARCH 14, 2025",state-tx-89r-hb2258
INTRODUCED,Texas,HB 1704,Relating to a parent's right to be notified by a school district concerning acts of self-harm by the parent's child.,Nate Schatzline (R),PUBLIC EDUCATION,"89TH LEGISLATURE (2025)
LATEST ACTION: MARCH 14, 2025","MARCH 14, 2025",state-tx-89r-hb1704
INTRODUCED,Iowa,HF 64,A bill for an act relating to the dissemination and exhibition of obscene material to minors and providing penalties.,"Megan Jones (R),Heather Hora (R)","JUDICIARY, JUDICIARY H.J. 01/15.","2025-2026 REGULAR SESSION
LATEST ACTION: MARCH 14, 2025","MARCH 14, 2025",state-ia-2025_2026-hf64
BECAME LAW,Wyoming,SF 44,Fairness in sports-intercollegiate athletics.,"Wendy Schuler (R),Bob Davis (R),Steve Harshman (R),+3 sponsors","EDUCATION, EDUCATION","2025 REGULAR SESSION
LATEST ACTION: MARCH 13, 2025","MARCH 13, 2025",state-wy-2025-sf44
BECAME LAW,Wyoming,HB 43,Age verification for websites with harmful material.,"Martha Lawley (R),Ocean Andrew (R),Abby Angelos (R),+12 sponsors","JUDICIARY, JUDICIARY","2025 REGULAR SESSION
LATEST ACTION: MARCH 13, 2025","MARCH 13, 2025",state-wy-2025-hb43
INTRODUCED,Missouri,SB 597,Establishes provisions relating to single-sex access to restrooms and other facilities in public buildings and educational institutions,David Gregory (R),EDUCATION,"2025 REGULAR SESSION
LATEST ACTION: MARCH 13, 2025","MARCH 13, 2025",state-mo-2025-sb597
